,Crop_Damage,ID
0,1,F00000002
1,1,F00000007
2,1,F00000011
3,2,F00000013
4,1,F00000014
5,0,F00000015
6,2,F00000016
7,2,F00000019
8,2,F00000025
9,0,F00000026
10,1,F00000027
11,2,F00000031
12,1,F00000032
13,0,F00000033
14,1,F00000034
15,1,F00000036
16,1,F00000040
17,2,F00000041
18,0,F00000043
19,1,F00000044
20,2,F00000046
21,2,F00000047
22,0,F00000051
23,0,F00000053
24,0,F00000057
25,0,F00000059
26,0,F00000060
27,0,F00000061
28,0,F00000064
29,0,F00000066
30,0,F00000069
31,0,F00000070
32,0,F00000073
33,0,F00000078
34,1,F00000079
35,0,F00000086
36,0,F00000087
37,0,F00000088
38,0,F00000093
39,0,F00000094
40,0,F00000098
41,0,F00000099
42,0,F00000100
43,0,F00000101
44,0,F00000102
45,0,F00000104
46,0,F00000106
47,0,F00000110
48,0,F00000111
49,0,F00000112
50,0,F00000113
51,0,F00000114
52,0,F00000117
53,0,F00000128
54,1,F00000131
55,0,F00000132
56,0,F00000136
57,0,F00000138
58,0,F00000142
59,0,F00000143
60,2,F00000144
61,0,F00000146
62,0,F00000149
63,0,F00000152
64,1,F00000158
65,0,F00000161
66,0,F00000162
67,0,F00000163
68,1,F00000166
69,0,F00000170
70,0,F00000171
71,2,F00000172
72,1,F00000173
73,0,F00000179
74,0,F00000184
75,0,F00000186
76,0,F00000192
77,0,F00000194
78,1,F00000195
79,0,F00000200
80,2,F00000201
81,0,F00000202
82,0,F00000207
83,0,F00000208
84,0,F00000210
85,0,F00000211
86,0,F00000214
87,0,F00000216
88,0,F00000220
89,0,F00000222
90,0,F00000224
91,0,F00000225
92,0,F00000226
93,1,F00000227
94,0,F00000228
95,0,F00000233
96,0,F00000236
97,0,F00000237
98,0,F00000238
99,0,F00000239
100,0,F00000243
101,0,F00000244
102,0,F00000246
103,1,F00000248
104,1,F00000251
105,0,F00000252
106,1,F00000254
107,0,F00000255
108,1,F00000256
109,1,F00000258
110,0,F00000259
111,0,F00000260
112,1,F00000270
113,1,F00000271
114,0,F00000272
115,0,F00000273
116,2,F00000274
117,0,F00000275
118,1,F00000280
119,1,F00000282
120,0,F00000286
121,0,F00000288
122,0,F00000289
123,0,F00000291
124,0,F00000294
125,0,F00000295
126,0,F00000298
127,2,F00000300
128,1,F00000301
129,0,F00000302
130,1,F00000303
131,1,F00000307
132,0,F00000309
133,1,F00000312
134,0,F00000314
135,0,F00000316
136,1,F00000322
137,1,F00000325
138,1,F00000326
139,2,F00000328
140,1,F00000336
141,2,F00000340
142,0,F00000341
143,1,F00000344
144,1,F00000347
145,0,F00000349
146,0,F00000350
147,0,F00000351
148,1,F00000357
149,0,F00000359
150,1,F00000361
151,0,F00000365
152,0,F00000367
153,2,F00000368
154,0,F00000374
155,0,F00000375
156,0,F00000381
157,1,F00000382
158,1,F00000388
159,0,F00000394
160,0,F00000395
161,0,F00000400
162,1,F00000405
163,0,F00000406
164,0,F00000408
165,0,F00000410
166,1,F00000411
167,2,F00000412
168,0,F00000415
169,1,F00000416
170,1,F00000418
171,0,F00000423
172,0,F00000424
173,1,F00000425
174,1,F00000426
175,0,F00000429
176,0,F00000430
177,0,F00000434
178,0,F00000438
179,1,F00000440
180,1,F00000443
181,2,F00000446
182,0,F00000447
183,0,F00000448
184,0,F00000450
185,0,F00000451
186,0,F00000454
187,1,F00000460
188,0,F00000463
189,0,F00000465
190,0,F00000466
191,0,F00000468
192,0,F00000472
193,1,F00000475
194,2,F00000477
195,2,F00000480
196,0,F00000483
197,1,F00000486
198,0,F00000489
199,0,F00000491
200,1,F00000494
201,0,F00000496
202,0,F00000497
203,0,F00000499
204,0,F00000500
205,0,F00000502
206,0,F00000503
207,0,F00000509
208,0,F00000511
209,0,F00000512
210,1,F00000515
211,1,F00000519
212,0,F00000522
213,0,F00000523
214,0,F00000525
215,1,F00000533
216,0,F00000534
217,2,F00000536
218,0,F00000538
219,2,F00000540
220,2,F00000542
221,0,F00000548
222,1,F00000549
223,0,F00000554
224,1,F00000558
225,2,F00000562
226,0,F00000566
227,2,F00000567
228,1,F00000568
229,0,F00000574
230,2,F00000577
231,0,F00000579
232,2,F00000583
233,1,F00000584
234,0,F00000586
235,0,F00000589
236,1,F00000592
237,0,F00000594
238,0,F00000599
239,0,F00000600
240,0,F00000603
241,1,F00000604
242,2,F00000607
243,1,F00000608
244,0,F00000610
245,1,F00000613
246,2,F00000614
247,1,F00000615
248,0,F00000622
249,0,F00000625
250,1,F00000630
251,0,F00000631
252,0,F00000632
253,1,F00000633
254,1,F00000637
255,1,F00000638
256,1,F00000642
257,0,F00000643
258,1,F00000645
259,0,F00000647
260,1,F00000648
261,0,F00000652
262,0,F00000664
263,1,F00000665
264,0,F00000666
265,1,F00000667
266,0,F00000669
267,0,F00000670
268,0,F00000672
269,0,F00000675
270,0,F00000676
271,1,F00000682
272,1,F00000684
273,0,F00000685
274,1,F00000687
275,1,F00000689
276,1,F00000697
277,0,F00000701
278,1,F00000702
279,1,F00000703
280,0,F00000704
281,1,F00000705
282,0,F00000707
283,0,F00000708
284,0,F00000714
285,0,F00000715
286,0,F00000717
287,0,F00000720
288,0,F00000727
289,0,F00000729
290,0,F00000730
291,0,F00000732
292,0,F00000733
293,0,F00000736
294,0,F00000742
295,0,F00000744
296,0,F00000745
297,0,F00000751
298,0,F00000752
299,0,F00000753
300,0,F00000754
301,0,F00000755
302,0,F00000756
303,0,F00000759
304,0,F00000762
305,1,F00000768
306,0,F00000769
307,0,F00000770
308,0,F00000773
309,0,F00000776
310,0,F00000778
311,1,F00000781
312,0,F00000785
313,0,F00000789
314,0,F00000790
315,0,F00000794
316,0,F00000796
317,1,F00000797
318,1,F00000798
319,1,F00000799
320,0,F00000800
321,0,F00000801
322,0,F00000807
323,0,F00000810
324,0,F00000811
325,0,F00000812
326,0,F00000813
327,0,F00000814
328,0,F00000823
329,0,F00000826
330,0,F00000831
331,0,F00000832
332,0,F00000837
333,0,F00000839
334,0,F00000842
335,0,F00000845
336,0,F00000847
337,0,F00000851
338,0,F00000854
339,2,F00000855
340,0,F00000856
341,0,F00000857
342,1,F00000858
343,0,F00000859
344,0,F00000860
345,0,F00000861
346,0,F00000862
347,0,F00000863
348,1,F00000864
349,0,F00000865
350,0,F00000868
351,0,F00000869
352,0,F00000871
353,1,F00000872
354,0,F00000879
355,0,F00000882
356,0,F00000883
357,1,F00000885
358,0,F00000887
359,0,F00000891
360,1,F00000892
361,1,F00000896
362,0,F00000902
363,0,F00000903
364,0,F00000907
365,0,F00000908
366,1,F00000913
367,0,F00000915
368,0,F00000918
369,0,F00000922
370,0,F00000926
371,1,F00000930
372,0,F00000931
373,0,F00000932
374,0,F00000933
375,1,F00000934
376,2,F00000935
