,Crop_Damage,ID
0,1,F00000002
1,1,F00000007
2,1,F00000011
3,1,F00000013
4,1,F00000014
5,1,F00000015
6,1,F00000016
7,1,F00000019
8,1,F00000025
9,1,F00000026
10,1,F00000027
11,1,F00000031
12,1,F00000032
13,1,F00000033
14,1,F00000034
15,1,F00000036
16,1,F00000040
17,1,F00000041
18,1,F00000043
19,2,F00000044
20,1,F00000046
21,1,F00000047
22,1,F00000051
23,1,F00000053
24,1,F00000057
25,1,F00000059
26,1,F00000060
27,1,F00000061
28,1,F00000064
29,1,F00000066
30,1,F00000069
31,1,F00000070
32,1,F00000073
33,1,F00000078
34,1,F00000079
35,1,F00000086
36,1,F00000087
37,1,F00000088
38,1,F00000093
39,1,F00000094
40,1,F00000098
41,1,F00000099
42,1,F00000100
43,1,F00000101
44,1,F00000102
45,1,F00000104
46,1,F00000106
47,1,F00000110
48,1,F00000111
49,1,F00000112
50,1,F00000113
51,1,F00000114
52,1,F00000117
53,1,F00000128
54,1,F00000131
55,1,F00000132
56,1,F00000136
57,1,F00000138
58,1,F00000142
59,1,F00000143
60,1,F00000144
61,1,F00000146
62,1,F00000149
63,1,F00000152
64,1,F00000158
65,1,F00000161
66,1,F00000162
67,1,F00000163
68,1,F00000166
69,1,F00000170
70,1,F00000171
71,1,F00000172
72,1,F00000173
73,1,F00000179
74,1,F00000184
75,1,F00000186
76,1,F00000192
77,1,F00000194
78,1,F00000195
79,1,F00000200
80,1,F00000201
81,1,F00000202
82,1,F00000207
83,1,F00000208
84,1,F00000210
85,1,F00000211
86,1,F00000214
87,1,F00000216
88,1,F00000220
89,1,F00000222
90,1,F00000224
91,1,F00000225
92,1,F00000226
93,1,F00000227
94,1,F00000228
95,1,F00000233
96,1,F00000236
97,1,F00000237
98,1,F00000238
99,1,F00000239
100,1,F00000243
101,1,F00000244
102,1,F00000246
103,1,F00000248
104,1,F00000251
105,1,F00000252
106,1,F00000254
107,1,F00000255
108,1,F00000256
109,1,F00000258
110,1,F00000259
111,1,F00000260
112,1,F00000270
113,1,F00000271
114,1,F00000272
115,1,F00000273
116,1,F00000274
117,1,F00000275
118,1,F00000280
119,1,F00000282
120,1,F00000286
121,1,F00000288
122,1,F00000289
123,1,F00000291
124,1,F00000294
125,1,F00000295
126,1,F00000298
127,1,F00000300
128,1,F00000301
129,1,F00000302
130,1,F00000303
131,1,F00000307
132,1,F00000309
133,1,F00000312
134,1,F00000314
135,1,F00000316
136,1,F00000322
137,1,F00000325
138,1,F00000326
139,1,F00000328
140,1,F00000336
141,1,F00000340
142,1,F00000341
143,1,F00000344
144,1,F00000347
145,1,F00000349
146,1,F00000350
147,1,F00000351
148,1,F00000357
149,1,F00000359
150,1,F00000361
151,1,F00000365
152,1,F00000367
153,1,F00000368
154,1,F00000374
155,1,F00000375
156,1,F00000381
157,1,F00000382
158,1,F00000388
159,1,F00000394
160,1,F00000395
161,1,F00000400
162,1,F00000405
163,1,F00000406
164,1,F00000408
165,1,F00000410
166,1,F00000411
167,1,F00000412
168,1,F00000415
169,1,F00000416
170,1,F00000418
171,1,F00000423
172,1,F00000424
173,1,F00000425
174,1,F00000426
175,1,F00000429
176,1,F00000430
177,1,F00000434
178,1,F00000438
179,1,F00000440
180,1,F00000443
181,1,F00000446
182,1,F00000447
183,1,F00000448
184,1,F00000450
185,1,F00000451
186,1,F00000454
187,1,F00000460
188,1,F00000463
189,1,F00000465
190,1,F00000466
191,1,F00000468
192,1,F00000472
193,1,F00000475
194,1,F00000477
195,1,F00000480
196,1,F00000483
197,1,F00000486
198,1,F00000489
199,1,F00000491
200,1,F00000494
201,1,F00000496
202,1,F00000497
203,1,F00000499
204,1,F00000500
205,1,F00000502
206,1,F00000503
207,1,F00000509
208,1,F00000511
209,1,F00000512
210,1,F00000515
211,1,F00000519
212,1,F00000522
213,1,F00000523
214,1,F00000525
215,1,F00000533
216,1,F00000534
217,1,F00000536
218,1,F00000538
219,1,F00000540
220,1,F00000542
221,1,F00000548
222,1,F00000549
223,1,F00000554
224,1,F00000558
225,1,F00000562
226,1,F00000566
227,1,F00000567
228,1,F00000568
229,1,F00000574
230,1,F00000577
231,1,F00000579
232,1,F00000583
233,1,F00000584
234,1,F00000586
235,1,F00000589
236,1,F00000592
237,1,F00000594
238,1,F00000599
239,1,F00000600
240,1,F00000603
241,1,F00000604
242,1,F00000607
243,1,F00000608
244,1,F00000610
245,1,F00000613
246,1,F00000614
247,1,F00000615
248,1,F00000622
249,1,F00000625
250,1,F00000630
251,1,F00000631
252,1,F00000632
253,1,F00000633
254,1,F00000637
255,1,F00000638
256,1,F00000642
257,1,F00000643
258,1,F00000645
259,1,F00000647
260,1,F00000648
261,1,F00000652
262,1,F00000664
263,1,F00000665
264,1,F00000666
265,1,F00000667
266,1,F00000669
267,1,F00000670
268,1,F00000672
269,1,F00000675
270,1,F00000676
271,1,F00000682
272,1,F00000684
273,1,F00000685
274,1,F00000687
275,1,F00000689
276,1,F00000697
277,1,F00000701
278,1,F00000702
279,1,F00000703
280,1,F00000704
281,1,F00000705
282,1,F00000707
283,1,F00000708
284,1,F00000714
285,1,F00000715
286,1,F00000717
287,1,F00000720
288,1,F00000727
289,1,F00000729
290,1,F00000730
291,1,F00000732
292,1,F00000733
293,1,F00000736
294,1,F00000742
295,1,F00000744
296,1,F00000745
297,1,F00000751
298,1,F00000752
299,1,F00000753
300,1,F00000754
301,1,F00000755
302,1,F00000756
303,1,F00000759
304,1,F00000762
305,1,F00000768
306,1,F00000769
307,1,F00000770
308,1,F00000773
309,1,F00000776
310,1,F00000778
311,1,F00000781
312,1,F00000785
313,1,F00000789
314,1,F00000790
315,1,F00000794
316,1,F00000796
317,1,F00000797
318,1,F00000798
319,1,F00000799
320,1,F00000800
321,1,F00000801
322,1,F00000807
323,1,F00000810
324,1,F00000811
325,1,F00000812
326,1,F00000813
327,1,F00000814
328,1,F00000823
329,1,F00000826
330,1,F00000831
331,1,F00000832
332,1,F00000837
333,1,F00000839
334,1,F00000842
335,1,F00000845
336,1,F00000847
337,1,F00000851
338,1,F00000854
339,1,F00000855
340,1,F00000856
341,1,F00000857
342,1,F00000858
343,1,F00000859
344,1,F00000860
345,1,F00000861
346,1,F00000862
347,1,F00000863
348,1,F00000864
349,1,F00000865
350,1,F00000868
351,1,F00000869
352,1,F00000871
353,1,F00000872
354,1,F00000879
355,1,F00000882
356,1,F00000883
357,1,F00000885
358,1,F00000887
359,1,F00000891
360,1,F00000892
361,1,F00000896
362,1,F00000902
363,1,F00000903
364,1,F00000907
365,1,F00000908
366,1,F00000913
367,1,F00000915
368,1,F00000918
369,1,F00000922
370,1,F00000926
371,1,F00000930
372,1,F00000931
373,1,F00000932
374,1,F00000933
375,1,F00000934
376,1,F00000935
