,ID,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Nonzero
0,F00000002,188,1,1,1,0,,0,2,6
1,F00000007,410,1,1,1,0,0.0,0,2,5
2,F00000011,626,1,0,1,0,0.0,0,2,4
3,F00000013,731,1,0,1,0,0.0,0,2,4
4,F00000014,789,0,0,1,0,0.0,0,1,3
5,F00000015,851,0,1,1,0,0.0,0,2,4
6,F00000016,851,1,0,1,0,,0,3,5
7,F00000019,1056,1,0,1,0,0.0,0,1,4
8,F00000025,1576,1,0,1,0,0.0,0,2,4
9,F00000026,1576,1,0,1,0,0.0,0,1,4
10,F00000027,1576,1,1,1,0,0.0,0,1,5
11,F00000031,1898,0,1,1,0,,0,2,5
12,F00000032,1898,1,0,1,0,0.0,0,2,4
13,F00000033,2016,0,0,1,0,0.0,0,2,3
14,F00000034,2015,0,0,1,0,0.0,0,2,3
15,F00000036,2267,1,0,1,0,0.0,0,1,4
16,F00000040,2541,0,0,1,0,0.0,0,2,3
17,F00000041,2541,1,0,1,0,0.0,0,2,4
18,F00000043,2840,0,0,1,0,0.0,0,2,3
19,F00000044,2999,0,0,1,0,0.0,0,3,3
20,F00000046,3164,0,1,1,0,0.0,0,1,4
21,F00000047,3336,0,1,1,0,,0,2,5
22,F00000051,150,0,0,3,30,20.0,0,2,5
23,F00000053,150,0,0,3,40,19.0,0,1,5
24,F00000057,168,0,1,3,20,10.0,0,2,6
25,F00000059,168,0,1,3,30,14.0,0,3,6
26,F00000060,168,0,1,3,35,19.0,0,1,6
27,F00000061,168,0,1,3,65,22.0,0,2,6
28,F00000064,188,0,1,3,30,13.0,0,2,6
29,F00000066,209,0,0,3,5,22.0,0,2,5
30,F00000069,232,0,0,3,15,10.0,0,1,5
31,F00000070,231,0,0,3,35,26.0,0,2,5
32,F00000073,232,0,1,3,40,17.0,0,3,6
33,F00000078,256,0,1,3,25,15.0,0,1,6
34,F00000079,256,0,1,3,40,25.0,0,2,6
35,F00000086,311,0,0,3,30,18.0,0,2,5
36,F00000087,312,0,0,3,30,29.0,0,2,5
37,F00000088,312,0,1,3,10,23.0,0,2,6
38,F00000093,342,0,1,3,60,27.0,0,3,6
39,F00000094,375,0,0,3,30,,0,1,5
40,F00000098,375,0,1,3,20,34.0,0,2,6
41,F00000099,375,0,1,3,30,16.0,0,3,6
42,F00000100,375,0,1,3,40,22.0,0,3,6
43,F00000101,375,0,1,3,60,26.0,0,1,6
44,F00000102,375,0,1,3,60,35.0,0,2,6
45,F00000104,375,0,1,3,30,28.0,0,2,6
46,F00000106,410,0,0,3,35,21.0,0,2,5
47,F00000110,410,0,1,3,20,12.0,0,2,6
48,F00000111,410,0,1,3,30,23.0,0,2,6
49,F00000112,411,0,1,3,60,27.0,0,1,6
50,F00000113,410,0,1,3,80,31.0,0,1,6
51,F00000114,410,0,1,3,10,27.0,0,2,6
52,F00000117,448,0,0,3,25,33.0,0,3,5
53,F00000128,448,0,1,3,50,28.0,0,2,6
54,F00000131,448,0,1,3,30,31.0,0,2,6
55,F00000132,448,0,1,3,40,28.0,0,2,6
56,F00000136,488,0,0,3,35,24.0,0,3,5
57,F00000138,489,0,0,3,60,,0,3,5
58,F00000142,488,0,1,3,5,10.0,0,2,6
59,F00000143,489,0,1,3,10,19.0,0,2,6
60,F00000144,489,0,1,3,10,31.0,0,1,6
61,F00000146,488,0,1,3,10,36.0,0,2,6
62,F00000149,488,0,1,3,50,26.0,0,2,6
63,F00000152,489,0,1,3,25,29.0,0,2,6
64,F00000158,531,0,1,3,10,38.0,0,2,6
65,F00000161,531,0,1,3,40,,0,3,6
66,F00000162,531,0,1,3,45,30.0,0,3,6
67,F00000163,531,0,1,3,45,32.0,0,3,6
68,F00000166,531,0,1,3,20,28.0,0,1,6
69,F00000170,577,0,0,3,40,34.0,0,1,5
70,F00000171,577,0,1,3,5,6.0,0,2,6
71,F00000172,577,0,1,3,10,22.0,0,2,6
72,F00000173,577,0,1,3,20,41.0,0,1,6
73,F00000179,625,0,0,3,10,18.0,0,1,5
74,F00000184,626,0,0,3,60,25.0,0,1,5
75,F00000186,625,0,1,3,15,31.0,0,2,6
76,F00000192,626,0,1,3,10,24.0,0,2,6
77,F00000194,677,0,0,3,5,35.0,0,3,5
78,F00000195,677,0,0,3,15,27.0,0,1,5
79,F00000200,677,0,0,3,10,,0,3,5
80,F00000201,677,0,1,3,20,36.0,0,2,6
81,F00000202,677,0,1,3,30,20.0,0,2,6
82,F00000207,677,0,1,3,65,34.0,0,2,6
83,F00000208,677,0,1,3,80,38.0,0,2,6
84,F00000210,732,0,0,3,20,10.0,0,2,5
85,F00000211,732,0,0,3,35,25.0,0,2,5
86,F00000214,731,0,0,3,5,34.0,0,2,5
87,F00000216,731,0,0,3,30,33.0,0,2,5
88,F00000220,731,0,1,3,30,,0,2,6
89,F00000222,731,0,1,3,25,32.0,0,1,6
90,F00000224,732,0,1,3,10,30.0,0,2,6
91,F00000225,732,0,1,3,25,32.0,0,1,6
92,F00000226,789,0,0,3,10,20.0,0,3,5
93,F00000227,789,0,0,3,30,30.0,0,3,5
94,F00000228,790,0,0,3,40,,0,2,5
95,F00000233,789,0,0,3,10,34.0,0,2,5
96,F00000236,790,0,0,3,35,34.0,0,1,5
97,F00000237,790,0,1,3,5,7.0,0,1,6
98,F00000238,789,0,1,3,5,37.0,0,2,6
99,F00000239,789,0,1,3,20,23.0,0,2,6
100,F00000243,789,0,1,3,50,,0,2,6
101,F00000244,789,0,1,3,65,41.0,0,1,6
102,F00000246,789,0,1,3,20,37.0,0,2,6
103,F00000248,790,0,1,3,40,34.0,0,2,6
104,F00000251,851,0,0,3,20,41.0,0,1,5
105,F00000252,851,0,0,3,25,30.0,0,3,5
106,F00000254,851,0,0,3,40,37.0,0,1,5
107,F00000255,850,0,0,3,30,38.0,0,2,5
108,F00000256,851,0,0,3,20,40.0,0,3,5
109,F00000258,851,0,0,3,20,38.0,0,2,5
110,F00000259,851,0,1,3,5,31.0,0,2,6
111,F00000260,850,0,1,3,5,39.0,0,1,6
112,F00000270,851,0,1,3,40,36.0,0,2,6
113,F00000271,916,0,0,3,20,,0,2,5
114,F00000272,915,0,0,3,25,37.0,0,1,5
115,F00000273,915,0,0,3,30,19.0,0,3,5
116,F00000274,915,0,0,3,30,,0,2,5
117,F00000275,915,0,0,3,50,36.0,0,2,5
118,F00000280,915,0,1,3,20,37.0,0,2,6
119,F00000282,915,0,1,3,35,,0,2,6
120,F00000286,915,0,1,3,60,35.0,0,3,6
121,F00000288,984,0,0,3,20,15.0,0,2,5
122,F00000289,984,0,0,3,20,20.0,0,1,5
123,F00000291,984,0,0,3,30,18.0,0,1,5
124,F00000294,984,0,1,3,5,20.0,0,2,6
125,F00000295,984,0,1,3,5,23.0,0,3,6
126,F00000298,984,0,1,3,30,16.0,0,1,6
127,F00000300,984,0,1,3,30,45.0,0,2,6
128,F00000301,984,0,1,3,40,47.0,0,2,6
129,F00000302,984,0,1,3,90,41.0,0,2,6
130,F00000303,984,0,1,3,30,34.0,0,1,6
131,F00000307,1056,0,0,3,40,29.0,0,2,5
132,F00000309,1056,0,0,3,20,42.0,0,2,5
133,F00000312,1056,0,0,3,30,43.0,0,3,5
134,F00000314,1056,0,1,3,25,37.0,0,3,6
135,F00000316,1056,0,1,3,30,36.0,0,2,6
136,F00000322,1056,0,1,3,80,44.0,0,1,6
137,F00000325,1056,0,1,3,30,40.0,0,1,6
138,F00000326,1056,0,1,3,40,,0,1,6
139,F00000328,1056,0,1,3,10,42.0,0,3,6
140,F00000336,1132,0,0,3,20,43.0,0,2,5
141,F00000340,1132,0,0,3,30,,0,3,5
142,F00000341,1132,0,0,3,40,26.0,0,2,5
143,F00000344,1132,0,0,3,20,42.0,0,1,5
144,F00000347,1132,0,0,3,40,41.0,0,2,5
145,F00000349,1132,0,0,3,15,38.0,0,1,5
146,F00000350,1132,0,0,3,15,42.0,0,2,5
147,F00000351,1132,0,1,3,5,15.0,0,2,6
148,F00000357,1132,0,1,3,60,40.0,0,1,6
149,F00000359,1132,0,1,3,25,36.0,0,2,6
150,F00000361,1132,0,1,3,20,40.0,0,3,6
151,F00000365,1212,0,0,3,20,45.0,0,2,5
152,F00000367,1212,0,0,3,15,39.0,0,2,5
153,F00000368,1212,0,0,3,30,50.0,0,1,5
154,F00000374,1212,0,0,3,20,50.0,0,1,5
155,F00000375,1212,0,0,3,30,,0,1,5
156,F00000381,1212,0,1,3,20,25.0,0,3,6
157,F00000382,1212,0,1,3,20,36.0,0,2,6
158,F00000388,1212,0,1,3,30,43.0,0,3,6
159,F00000394,1296,0,0,3,10,31.0,0,1,5
160,F00000395,1297,0,0,3,20,18.0,0,1,5
161,F00000400,1297,0,0,3,20,52.0,0,2,5
162,F00000405,1296,0,1,3,20,20.0,0,2,6
163,F00000406,1296,0,1,3,30,,0,3,6
164,F00000408,1297,0,1,3,40,26.0,0,1,6
165,F00000410,1297,0,1,3,30,,0,1,6
166,F00000411,1297,0,1,3,30,40.0,0,1,6
167,F00000412,1296,0,1,3,40,44.0,0,3,6
168,F00000415,1385,0,0,3,5,48.0,0,2,5
169,F00000416,1385,0,0,3,10,40.0,0,2,5
170,F00000418,1385,0,0,3,15,46.0,0,1,5
171,F00000423,1385,0,0,3,40,36.0,0,3,5
172,F00000424,1385,0,0,3,10,43.0,0,1,5
173,F00000425,1385,0,0,3,25,43.0,0,2,5
174,F00000426,1385,0,0,3,20,27.0,0,2,5
175,F00000429,1385,0,1,3,5,15.0,0,2,6
176,F00000430,1385,0,1,3,5,24.0,0,1,6
177,F00000434,1385,0,1,3,20,34.0,0,2,6
178,F00000438,1385,0,1,3,45,44.0,0,2,6
179,F00000440,1385,0,1,3,80,45.0,0,1,6
180,F00000443,1385,0,1,3,20,46.0,0,2,6
181,F00000446,1385,0,1,3,20,43.0,0,1,6
182,F00000447,1385,0,1,3,10,46.0,0,1,6
183,F00000448,1385,0,1,3,40,35.0,0,1,6
184,F00000450,1478,0,0,3,10,34.0,0,2,5
185,F00000451,1478,0,0,3,15,47.0,0,2,5
186,F00000454,1478,0,0,3,35,35.0,0,1,5
187,F00000460,1478,0,0,3,20,50.0,0,2,5
188,F00000463,1478,0,1,3,20,,0,1,6
189,F00000465,1478,0,1,3,30,36.0,0,1,6
190,F00000466,1478,0,1,3,30,39.0,0,2,6
191,F00000468,1478,0,1,3,50,50.0,0,1,6
192,F00000472,1478,0,1,3,20,46.0,0,3,6
193,F00000475,1575,0,0,3,30,30.0,0,2,5
194,F00000477,1575,0,0,3,40,13.0,0,2,5
195,F00000480,1575,0,0,3,40,46.0,0,1,5
196,F00000483,1576,0,0,3,20,,0,1,5
197,F00000486,1576,0,1,3,10,35.0,0,2,6
198,F00000489,1576,0,1,3,20,39.0,0,2,6
199,F00000491,1575,0,1,3,30,43.0,0,3,6
200,F00000494,1575,0,1,3,60,50.0,0,1,6
201,F00000496,1678,0,0,3,15,14.0,0,2,5
202,F00000497,1678,0,0,3,15,36.0,0,3,5
203,F00000499,1678,0,0,3,15,48.0,0,3,5
204,F00000500,1678,0,0,3,40,43.0,0,3,5
205,F00000502,1678,0,0,3,40,35.0,0,2,5
206,F00000503,1678,0,0,3,40,50.0,0,2,5
207,F00000509,1678,0,1,3,15,49.0,0,1,6
208,F00000511,1678,0,1,3,30,56.0,0,2,6
209,F00000512,1678,0,1,3,30,40.0,0,3,6
210,F00000515,1786,0,0,3,20,57.0,0,2,5
211,F00000519,1785,0,0,3,40,49.0,0,3,5
212,F00000522,1786,0,1,3,5,,0,1,6
