,ID,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage,Nonzero
0,F00000001,188,1,0,1,0,0.0,0,1,0,3
1,F00000003,209,1,0,1,0,0.0,0,2,1,4
2,F00000004,257,1,0,1,0,0.0,0,2,1,4
3,F00000005,257,1,1,1,0,0.0,0,2,1,5
4,F00000006,342,1,0,1,0,0.0,0,2,1,4
5,F00000008,448,0,1,1,0,,0,2,1,5
6,F00000009,448,0,1,1,0,,0,2,1,5
7,F00000010,577,1,0,1,0,0.0,0,1,2,4
8,F00000012,731,0,0,1,0,0.0,0,2,0,2
9,F00000020,1132,1,0,1,0,0.0,0,1,2,4
10,F00000021,1212,1,0,1,0,,0,3,0,4
11,F00000023,1575,0,0,1,0,0.0,0,1,1,3
12,F00000024,1575,0,1,1,0,0.0,0,2,1,4
13,F00000028,1575,1,1,1,0,0.0,0,2,1,5
14,F00000029,1575,1,1,1,0,0.0,0,2,2,5
15,F00000030,1785,1,1,1,0,0.0,0,2,1,5
16,F00000035,2138,0,1,1,0,0.0,0,1,1,4
17,F00000037,2401,0,1,1,0,,0,1,1,5
18,F00000038,2401,1,1,1,0,0.0,0,2,1,5
19,F00000039,2401,1,1,1,0,0.0,0,2,1,5
20,F00000045,2999,0,1,1,0,0.0,0,3,1,4
21,F00000048,3516,1,0,1,0,0.0,0,2,0,3
22,F00000049,3895,1,1,1,0,0.0,0,1,1,5
23,F00000050,4096,1,1,1,0,0.0,0,2,1,5
24,F00000052,150,0,0,3,30,26.0,0,2,0,4
25,F00000054,151,0,0,3,40,20.0,0,1,0,4
26,F00000055,150,0,0,3,60,15.0,0,2,0,4
27,F00000058,168,0,1,3,20,14.0,0,2,0,5
28,F00000062,168,0,1,3,20,15.0,0,2,1,6
29,F00000063,188,0,0,3,25,19.0,0,1,0,4
30,F00000065,188,0,1,3,40,24.0,0,3,0,5
31,F00000068,209,0,1,3,20,8.0,0,3,0,5
32,F00000071,232,0,0,3,45,23.0,0,2,0,4
33,F00000072,231,0,1,3,30,25.0,0,2,0,5
34,F00000075,256,0,0,3,20,28.0,0,3,0,4
35,F00000076,257,0,0,3,30,,0,2,0,4
36,F00000077,256,0,0,3,40,29.0,0,1,0,4
37,F00000080,283,0,0,3,25,22.0,0,1,0,4
38,F00000081,283,0,0,3,50,24.0,0,2,0,4
39,F00000082,283,0,1,3,15,24.0,0,3,0,5
40,F00000083,283,0,1,3,45,20.0,0,1,0,5
41,F00000084,312,0,0,3,10,20.0,0,3,0,4
42,F00000085,311,0,0,3,20,25.0,0,1,0,4
43,F00000089,312,0,1,3,15,21.0,0,2,0,5
44,F00000090,312,0,1,3,15,24.0,0,2,0,5
45,F00000091,342,0,0,3,60,28.0,0,2,0,4
46,F00000092,342,0,1,3,40,17.0,0,3,0,5
47,F00000095,375,0,0,3,50,30.0,0,2,0,4
48,F00000096,375,0,1,3,5,22.0,0,1,0,5
49,F00000097,375,0,1,3,20,23.0,0,2,0,5
50,F00000103,375,0,1,3,10,25.0,0,3,1,6
51,F00000105,411,0,0,3,30,,0,2,0,4
52,F00000107,410,0,0,3,50,35.0,0,2,0,4
53,F00000108,410,0,0,3,20,32.0,0,3,1,5
54,F00000109,410,0,1,3,5,24.0,0,3,0,5
55,F00000115,448,0,0,3,5,27.0,0,1,0,4
56,F00000116,448,0,0,3,20,16.0,0,3,0,4
57,F00000118,448,0,0,3,30,24.0,0,2,0,4
58,F00000120,448,0,0,3,35,28.0,0,1,0,4
59,F00000121,448,0,0,3,10,,0,2,1,5
60,F00000122,448,0,0,3,30,,0,3,1,5
61,F00000123,448,0,1,3,20,32.0,0,2,0,5
62,F00000124,448,0,1,3,25,16.0,0,1,0,5
63,F00000125,448,0,1,3,25,21.0,0,2,0,5
64,F00000126,448,0,1,3,40,25.0,0,1,0,5
65,F00000127,448,0,1,3,45,,0,2,0,5
66,F00000129,448,0,1,3,60,31.0,0,1,0,5
67,F00000130,448,0,1,3,70,28.0,0,3,0,5
68,F00000133,488,0,0,3,15,32.0,0,3,0,4
69,F00000134,488,0,0,3,25,27.0,0,3,0,4
70,F00000135,488,0,0,3,30,26.0,0,2,0,4
71,F00000137,488,0,0,3,35,30.0,0,3,0,4
72,F00000139,488,0,0,3,60,33.0,0,1,0,4
73,F00000140,488,0,0,3,10,17.0,0,1,1,5
74,F00000141,488,0,0,3,20,33.0,0,1,1,5
75,F00000145,488,0,1,3,10,33.0,0,2,0,5
76,F00000147,488,0,1,3,20,32.0,0,2,0,5
77,F00000148,489,0,1,3,25,24.0,0,1,0,5
78,F00000151,488,0,1,3,60,32.0,0,1,1,6
79,F00000153,531,0,0,3,5,27.0,0,1,0,4
80,F00000154,531,0,0,3,20,,0,1,0,4
81,F00000155,531,0,0,3,50,30.0,0,2,0,4
82,F00000156,531,0,0,3,20,34.0,0,1,1,5
83,F00000157,531,0,1,3,5,17.0,0,1,0,5
84,F00000159,531,0,1,3,20,33.0,0,1,0,5
85,F00000164,531,0,1,3,60,19.0,0,2,0,5
86,F00000167,577,0,0,3,20,33.0,0,2,0,4
87,F00000168,577,0,0,3,50,33.0,0,3,0,4
88,F00000174,577,0,1,3,30,29.0,0,2,0,5
89,F00000175,577,0,1,3,30,39.0,0,1,0,5
90,F00000176,577,0,1,3,55,33.0,0,1,0,5
91,F00000177,577,0,1,3,60,29.0,0,1,0,5
92,F00000178,577,0,1,3,15,34.0,0,2,1,6
93,F00000180,626,0,0,3,20,38.0,0,2,0,4
94,F00000181,625,0,0,3,30,42.0,0,3,0,4
95,F00000182,625,0,0,3,40,15.0,0,1,0,4
96,F00000183,625,0,0,3,50,40.0,0,2,0,4
97,F00000185,626,0,1,3,5,32.0,0,1,0,5
98,F00000187,625,0,1,3,20,23.0,0,3,0,5
99,F00000188,625,0,1,3,25,32.0,0,3,0,5
100,F00000189,626,0,1,3,80,32.0,0,2,0,5
101,F00000190,626,0,1,3,20,31.0,0,2,1,6
102,F00000191,625,0,1,3,10,33.0,0,2,1,6
103,F00000193,625,0,1,3,30,29.0,0,1,2,6
104,F00000196,677,0,0,3,15,41.0,0,3,0,4
105,F00000197,677,0,0,3,20,41.0,0,2,0,4
106,F00000199,677,0,0,3,50,35.0,0,2,1,5
107,F00000203,677,0,1,3,35,25.0,0,2,0,5
108,F00000204,677,0,1,3,40,31.0,0,2,0,5
109,F00000206,677,0,1,3,50,38.0,0,2,0,5
110,F00000213,732,0,0,3,20,36.0,0,2,1,5
111,F00000215,732,0,0,3,40,31.0,0,2,1,5
112,F00000217,732,0,0,3,50,30.0,0,2,2,5
113,F00000218,731,0,1,3,10,16.0,0,3,0,5
114,F00000219,731,0,1,3,10,34.0,0,1,0,5
115,F00000221,731,0,1,3,60,40.0,0,2,0,5
116,F00000223,732,0,1,3,30,36.0,0,3,1,6
117,F00000229,789,0,0,3,40,44.0,0,3,0,4
118,F00000230,789,0,0,3,50,30.0,0,2,0,4
119,F00000231,790,0,0,3,60,40.0,0,2,0,4
